1,61,757.53,495.918,94,94,1,1,1
1,62,878.437,350.83,94,94,1,1,1
1,63,897.782,500.754,94,94,1,1,1
1,64,926.8,217.832,94,94,1,1,1
1,65,1038.03,972.291,94,94,1,1,1
1,66,1110.58,121.107,94,94,1,1,1
1,67,1139.6,229.923,94,94,1,1,1
1,68,1154.1,338.739,94,94,1,1,1
1,69,1349.97,832.039,94,94,1,1,1
1,70,1349.97,677.278,94,94,1,1,1
2,61,762.366,500.754,94,94,1,1,1
2,62,873.601,350.83,94,94,1,1,1
2,63,905.037,500.754,94,94,1,1,1
2,64,934.054,229.923,94,94,1,1,1
2,65,1040.45,967.455,94,94,1,1,1
2,66,1122.67,130.78,94,94,1,1,1
2,67,1154.1,222.669,94,94,1,1,1
2,68,1146.85,338.739,94,94,1,1,1
2,69,1349.97,824.785,94,94,1,1,1
2,70,1352.39,691.787,94,94,1,1,1
3,61,762.366,500.754,94,94,1,1,1
3,62,876.019,350.83,94,94,1,1,1
3,63,902.618,503.173,94,94,1,1,1
3,64,938.89,229.923,94,94,1,1,1
3,65,1059.8,965.037,94,94,1,1,1
3,66,1129.92,125.943,94,94,1,1,1
3,67,1166.2,222.669,94,94,1,1,1
3,68,1149.27,338.739,94,94,1,1,1
3,69,1364.48,824.785,94,94,1,1,1
3,70,1347.56,696.623,94,94,1,1,1
4,61,762.366,508.009,94,94,1,1,1
4,62,873.601,355.666,94,94,1,1,1
4,63,907.455,500.754,94,94,1,1,1
4,64,946.145,232.341,94,94,1,1,1
4,65,1096.07,950.528,94,94,1,1,1
4,66,1134.76,113.853,94,94,1,1,1
4,67,1166.2,225.087,94,94,1,1,1
4,68,1156.52,333.903,94,94,1,1,1
4,69,1366.9,815.112,94,94,1,1,1
4,70,1340.3,708.714,94,94,1,1,1
5,61,767.203,512.845,94,94,1,1,1
5,62,880.855,360.503,94,94,1,1,1
5,63,902.618,500.754,94,94,1,1,1
5,64,950.981,234.759,94,94,1,1,1
5,65,1103.32,950.528,94,94,1,1,1
5,66,1132.34,116.271,94,94,1,1,1
5,67,1173.45,220.251,94,94,1,1,1
5,68,1142.01,338.739,94,94,1,1,1
5,69,1366.9,810.276,94,94,1,1,1
5,70,1333.05,713.55,94,94,1,1,1
6,61,764.785,522.518,94,94,1,1,1
6,62,878.437,350.83,94,94,1,1,1
6,63,902.618,503.173,94,94,1,1,1
6,64,992.089,246.85,94,94,1,1,1
6,65,1120.25,950.528,94,94,1,1,1
6,66,1144.43,123.525,94,94,1,1,1
6,67,1180.7,217.832,94,94,1,1,1
6,68,1149.27,338.739,94,94,1,1,1
6,69,1374.15,803.021,94,94,1,1,1
6,70,1328.21,732.895,94,94,1,1,1
7,61,762.366,529.772,94,94,1,1,1
7,62,880.855,350.83,94,94,1,1,1
7,63,900.2,500.754,94,94,1,1,1
7,64,1018.69,239.596,94,94,1,1,1
7,65,1134.76,938.437,94,94,1,1,1
7,66,1146.85,130.78,94,94,1,1,1
7,67,1197.63,208.16,94,94,1,1,1
7,68,1163.78,343.576,94,94,1,1,1
7,69,1374.15,793.349,94,94,1,1,1
7,70,1320.96,737.732,94,94,1,1,1
8,61,762.366,546.699,94,94,1,1,1
8,62,878.437,350.83,94,94,1,1,1
8,63,902.618,500.754,94,94,1,1,1
8,64,1069.47,229.923,94,94,1,1,1
8,65,1161.36,928.764,94,94,1,1,1
8,66,1156.52,121.107,94,94,1,1,1
8,67,1216.98,220.251,94,94,1,1,1
8,68,1154.1,355.666,94,94,1,1,1
8,69,1371.74,793.349,94,94,1,1,1
8,70,1316.12,744.986,94,94,1,1,1
9,61,759.948,568.462,94,94,1,1,1
9,62,878.437,350.83,94,94,1,1,1
9,63,905.037,495.918,94,94,1,1,1
9,64,1093.65,217.832,94,94,1,1,1
9,65,1175.87,911.838,94,94,1,1,1
